Year_Test,Year,Test,Test_Type,Test_Year,Location,Location2,Trait,Meta_data_type,Value
1989_PTI,1989,PTI,Preliminary,PTI_1989,RoyalIA,Royal_IA,YieldBuA,Reps,2
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,ConcordNE,Concord_NE,YieldBuA,C.V.,17.6
2005_UTIVRR,2005,UTIVRR,Uniform,UTIVRR_2005,OttawaKS,Ottawa_KS,YieldBuA,L.S.D.,2.1
1989_PTI,1989,PTI,Preliminary,PTI_1989,LambertonMN,Lamberton_MN,YieldBuA,Reps,2
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,MeadNE,Mead_NE,YieldBuA,C.V.,12.7
2012_PTIIIB,2012,PTIIIB,Preliminary,PTIIIB_2012,OttawaKS,Ottawa_KS,YieldBuA,L.S.D.,2.1
1989_PTI,1989,PTI,Preliminary,PTI_1989,WasecaMN,Waseca_MN,YieldBuA,Reps,2
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,AdelphiaNJ,Adelphia_NJ,YieldBuA,C.V.,17.2
1991_UT00,1991,UT00,Uniform,UT00_1991,OttawaONT,Ottawa_ONT,YieldBuA,L.S.D.,2.2
1989_PTI,1989,PTI,Preliminary,PTI_1989,BrookingsSD,Brookings_SD,YieldBuA,Reps,2
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,HoytvilleOH,Hoytville_OH,YieldBuA,C.V.,18.6
1999_PTIIB,1999,PTIIB,Preliminary,PTIIB_1999,AmesIA,Ames_IA,YieldBuA,L.S.D.,2.2
1989_PTI,1989,PTI,Preliminary,PTI_1989,ArlingtonWI,Arlington_WI,YieldBuA,Reps,2
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,RidgetownONT,Ridgetown_ONT,YieldBuA,C.V.,10.9
2005_UT0,2005,UT0,Uniform,UT0_2005,CasseltonND,Casselton_ND,YieldBuA,L.S.D.,2.2
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,AmesIA,Ames_IA,YieldBuA,Reps,2
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,CentervilleSD,Centerville_SD,YieldBuA,C.V.,9.3
2015_PTIIIA,2015,PTIIIA,Preliminary,PTIIIA_2015,OttawaKS,Ottawa_KS,YieldBuA,L.S.D.,2.2
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,MarshalltownIA,Marshalltown_IA,YieldBuA,Reps,2
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,ArlingtonWI,Arlington_WI,YieldBuA,C.V.,9.4
1999_PTIIIA,1999,PTIIIA,Preliminary,PTIIIA_1999,CrawfordsvilleIA,Crawfordsville_IA,YieldBuA,L.S.D.,2.3
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,UrbanaIL,Urbana_IL,YieldBuA,Reps,2
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,LafayetteIN,Lafayette_IN,YieldBuA,Reps,2
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,ConcordNE,Concord_NE,YieldBuA,Reps,2
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,MeadNE,Mead_NE,YieldBuA,Reps,2
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,AmesIA,Ames_IA,YieldBuA,Rows/Plot,4
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,MarshalltownIA,Marshalltown_IA,YieldBuA,Rows/Plot,4
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,UrbanaIL,Urbana_IL,YieldBuA,Rows/Plot,4
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,LafayetteIN,Lafayette_IN,YieldBuA,Rows/Plot,4
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,BrittonMI,Britton_MI,YieldBuA,Rows/Plot,4
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,ConcordNE,Concord_NE,YieldBuA,Rows/Plot,4
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,MeadNE,Mead_NE,YieldBuA,Rows/Plot,4
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,AdelphiaNJ,Adelphia_NJ,YieldBuA,Rows/Plot,4
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,HoytvilleOH,Hoytville_OH,YieldBuA,Rows/Plot,4
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,RidgetownONT,Ridgetown_ONT,YieldBuA,Rows/Plot,4
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,CentervilleSD,Centerville_SD,YieldBuA,Rows/Plot,4
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,ArlingtonWI,Arlington_WI,YieldBuA,Rows/Plot,4
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,BrittonMI,Britton_MI,YieldBuA,RowSp.,20
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,LafayetteIN,Lafayette_IN,YieldBuA,RowSp.,24
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,RidgetownONT,Ridgetown_ONT,YieldBuA,RowSp.,24
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,AmesIA,Ames_IA,YieldBuA,RowSp.,27
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,MarshalltownIA,Marshalltown_IA,YieldBuA,RowSp.,27
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,UrbanaIL,Urbana_IL,YieldBuA,RowSp.,30
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,ConcordNE,Concord_NE,YieldBuA,RowSp.,30
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,MeadNE,Mead_NE,YieldBuA,RowSp.,30
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,AdelphiaNJ,Adelphia_NJ,YieldBuA,RowSp.,30
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,HoytvilleOH,Hoytville_OH,YieldBuA,RowSp.,30
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,CentervilleSD,Centerville_SD,YieldBuA,RowSp.,30
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,ArlingtonWI,Arlington_WI,YieldBuA,RowSp.,30
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,AdelphiaNJ,Adelphia_NJ,YieldBuA,Reps,2
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,AmesIA,Ames_IA,YieldBuA,C.V.,4.9
1999_PTIIIB,1999,PTIIIB,Preliminary,PTIIIB_1999,CrawfordsvilleIA,Crawfordsville_IA,YieldBuA,L.S.D.,2.3
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,MarshalltownIA,Marshalltown_IA,YieldBuA,C.V.,5.7
2001_UT0,2001,UT0,Uniform,UT0_2001,OttawaONT,Ottawa_ONT,YieldBuA,L.S.D.,2.3
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,UrbanaIL,Urbana_IL,YieldBuA,C.V.,8.5
2003_PTIV,2003,PTIV,Preliminary,PTIV_2003,KingdomCityMO,KingdomCity_MO,YieldBuA,L.S.D.,2.3
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,LafayetteIN,Lafayette_IN,YieldBuA,C.V.,9.8
2004_UT00,2004,UT00,Uniform,UT00_2004,KeiserAR,Keiser_AR,YieldBuA,L.S.D.,2.3
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,HoytvilleOH,Hoytville_OH,YieldBuA,Reps,2
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,BrittonMI,Britton_MI,YieldBuA,C.V.,7
2005_UTIII,2005,UTIII,Uniform,UTIII_2005,ColumbiaMO,Columbia_MO,YieldBuA,L.S.D.,2.3
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,RidgetownONT,Ridgetown_ONT,YieldBuA,Reps,2
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,ConcordNE,Concord_NE,YieldBuA,C.V.,20.7
1996_UTIII,1996,UTIII,Uniform,UTIII_1996,PowhattanKS,Powhattan_KS,YieldBuA,L.S.D.,2.4
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,CentervilleSD,Centerville_SD,YieldBuA,Reps,2
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,MeadNE,Mead_NE,YieldBuA,C.V.,13.3
1999_UTII,1999,UTII,Uniform,UTII_1999,AmesIA,Ames_IA,YieldBuA,L.S.D.,2.4
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,ArlingtonWI,Arlington_WI,YieldBuA,Reps,2
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,AdelphiaNJ,Adelphia_NJ,YieldBuA,C.V.,26.7
1999_UTII,1999,UTII,Uniform,UTII_1999,RippeyIA,Rippey_IA,YieldBuA,L.S.D.,2.4
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,AmesIA,Ames_IA,YieldBuA,Reps,2
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,HoytvilleOH,Hoytville_OH,YieldBuA,C.V.,6.6
2000_UTIII,2000,UTIII,Uniform,UTIII_2000,PowhattanKS,Powhattan_KS,YieldBuA,L.S.D.,2.4
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,MarshalltownIA,Marshalltown_IA,YieldBuA,Reps,2
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,RidgetownONT,Ridgetown_ONT,YieldBuA,C.V.,5.2
2012_UTIV,2012,UTIV,Uniform,UTIV_2012,OttawaKS,Ottawa_KS,YieldBuA,L.S.D.,2.4
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,UrbanaIL,Urbana_IL,YieldBuA,Reps,2
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,CentervilleSD,Centerville_SD,YieldBuA,C.V.,8.5
1993_UT00,1993,UT00,Uniform,UT00_1993,EloraONT,Elora_ONT,YieldBuA,L.S.D.,2.5
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,MeadNE,Mead_NE,YieldBuA,Reps,2
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,ArlingtonWI,Arlington_WI,YieldBuA,C.V.,11
1998_UT00,1998,UT00,Uniform,UT00_1998,OttawaONT,Ottawa_ONT,YieldBuA,L.S.D.,2.5
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,AdelphiaNJ,Adelphia_NJ,YieldBuA,Reps,2
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,AmesIA,Ames_IA,YieldBuA,Rows/Plot,4
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,MarshalltownIA,Marshalltown_IA,YieldBuA,Rows/Plot,4
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,UrbanaIL,Urbana_IL,YieldBuA,Rows/Plot,4
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,LafayetteIN,Lafayette_IN,YieldBuA,Rows/Plot,4
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,BrittonMI,Britton_MI,YieldBuA,Rows/Plot,4
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,ConcordNE,Concord_NE,YieldBuA,Rows/Plot,4
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,MeadNE,Mead_NE,YieldBuA,Rows/Plot,4
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,AdelphiaNJ,Adelphia_NJ,YieldBuA,Rows/Plot,4
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,HoytvilleOH,Hoytville_OH,YieldBuA,Rows/Plot,4
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,RidgetownONT,Ridgetown_ONT,YieldBuA,Rows/Plot,4
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,CentervilleSD,Centerville_SD,YieldBuA,Rows/Plot,4
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,ArlingtonWI,Arlington_WI,YieldBuA,Rows/Plot,4
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,BrittonMI,Britton_MI,YieldBuA,RowSp.,20
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,LafayetteIN,Lafayette_IN,YieldBuA,RowSp.,24
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,RidgetownONT,Ridgetown_ONT,YieldBuA,RowSp.,24
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,AmesIA,Ames_IA,YieldBuA,RowSp.,27
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,MarshalltownIA,Marshalltown_IA,YieldBuA,RowSp.,27
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,UrbanaIL,Urbana_IL,YieldBuA,RowSp.,30
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,ConcordNE,Concord_NE,YieldBuA,RowSp.,30
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,MeadNE,Mead_NE,YieldBuA,RowSp.,30
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,AdelphiaNJ,Adelphia_NJ,YieldBuA,RowSp.,30
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,HoytvilleOH,Hoytville_OH,YieldBuA,RowSp.,30
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,CentervilleSD,Centerville_SD,YieldBuA,RowSp.,30
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,ArlingtonWI,Arlington_WI,YieldBuA,RowSp.,30
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,HoytvilleOH,Hoytville_OH,YieldBuA,Reps,2
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,RidgetownONT,Ridgetown_ONT,YieldBuA,Reps,2
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,CentervilleSD,Centerville_SD,YieldBuA,Reps,2
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,FairfieldIA,Fairfield_IA,YieldBuA,C.V.,8.5
1999_PTI,1999,PTI,Preliminary,PTI_1999,SiouxRapidsIA,SiouxRapids_IA,YieldBuA,L.S.D.,2.5
1989_PTIIB,1989,PTIIB,Preliminary,PTIIB_1989,ArlingtonWI,Arlington_WI,YieldBuA,Reps,2
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,WintersetIA,Winterset_IA,YieldBuA,C.V.,5
2008_UTIVRR,2008,UTIVRR,Uniform,UTIVRR_2008,AshlandKS,Ashland_KS,YieldBuA,L.S.D.,2.5
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,FairfieldIA,Fairfield_IA,YieldBuA,Reps,2
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,UrbanaIL,Urbana_IL,YieldBuA,C.V.,6.7
2009_UTIRR,2009,UTIRR,Uniform,UTIRR_2009,StHyacintheQUE,StHyacinthe_QUE,YieldBuA,L.S.D.,2.5
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,WintersetIA,Winterset_IA,YieldBuA,Reps,2
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,LafayetteIN,Lafayette_IN,YieldBuA,C.V.,8.5
2015_UTIV,2015,UTIV,Uniform,UTIV_2015,OttawaKS,Ottawa_KS,YieldBuA,L.S.D.,2.5
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,UrbanaIL,Urbana_IL,YieldBuA,Reps,2
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,ManhattanKS,Manhattan_KS,YieldBuA,C.V.,9.7
1999_UT00,1999,UT00,Uniform,UT00_1999,StBrunoMontarvilleQUE,StBrunoMontarville_QUE,YieldBuA,L.S.D.,2.6
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,LafayetteIN,Lafayette_IN,YieldBuA,Reps,2
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,LexingtonNE,Lexington_NE,YieldBuA,C.V.,10.2
1999_UTIII,1999,UTIII,Uniform,UTIII_1999,CrawfordsvilleIA,Crawfordsville_IA,YieldBuA,L.S.D.,2.6
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,ManhattanKS,Manhattan_KS,YieldBuA,Reps,2
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,LincolnNE,Lincoln_NE,YieldBuA,C.V.,4.4
2008_UTIRR,2008,UTIRR,Uniform,UTIRR_2008,AuroraSD,Aurora_SD,YieldBuA,L.S.D.,2.6
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,LexingtonNE,Lexington_NE,YieldBuA,Reps,2
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,HoytvilleOH,Hoytville_OH,YieldBuA,C.V.,10.3
1995_UTII,1995,UTII,Uniform,UTII_1995,BrookingsSD,Brookings_SD,YieldBuA,L.S.D.,2.7
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,LincolnNE,Lincoln_NE,YieldBuA,Reps,2
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,SCharlestonOH,SCharleston_OH,YieldBuA,C.V.,7.6
1997_UT00,1997,UT00,Uniform,UT00_1997,EloraONT,Elora_ONT,YieldBuA,L.S.D.,2.7
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,HoytvilleOH,Hoytville_OH,YieldBuA,Reps,2
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,SCharlestonOH,SCharleston_OH,YieldBuA,RowSp.,7
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,FairfieldIA,Fairfield_IA,YieldBuA,Rows/Plot,4
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,WintersetIA,Winterset_IA,YieldBuA,Rows/Plot,4
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,UrbanaIL,Urbana_IL,YieldBuA,Rows/Plot,4
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,LafayetteIN,Lafayette_IN,YieldBuA,Rows/Plot,4
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,ManhattanKS,Manhattan_KS,YieldBuA,Rows/Plot,4
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,LexingtonNE,Lexington_NE,YieldBuA,Rows/Plot,4
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,LincolnNE,Lincoln_NE,YieldBuA,Rows/Plot,4
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,HoytvilleOH,Hoytville_OH,YieldBuA,Rows/Plot,4
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,LafayetteIN,Lafayette_IN,YieldBuA,RowSp.,24
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,FairfieldIA,Fairfield_IA,YieldBuA,RowSp.,27
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,WintersetIA,Winterset_IA,YieldBuA,RowSp.,27
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,UrbanaIL,Urbana_IL,YieldBuA,RowSp.,30
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,ManhattanKS,Manhattan_KS,YieldBuA,RowSp.,30
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,LexingtonNE,Lexington_NE,YieldBuA,RowSp.,30
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,LincolnNE,Lincoln_NE,YieldBuA,RowSp.,30
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,HoytvilleOH,Hoytville_OH,YieldBuA,RowSp.,30
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,SCharlestonOH,SCharleston_OH,YieldBuA,Rows/Plot,8
1989_PTIIIB,1989,PTIIIB,Preliminary,PTIIIB_1989,FairfieldIA,Fairfield_IA,YieldBuA,C.V.,12.3
1999_UTI,1999,UTI,Uniform,UTI_1999,SiouxRapidsIA,SiouxRapids_IA,YieldBuA,L.S.D.,2.7
1989_PTIIIA,1989,PTIIIA,Preliminary,PTIIIA_1989,SCharlestonOH,SCharleston_OH,YieldBuA,Reps,2
1989_PTIIIB,1989,PTIIIB,Preliminary,PTIIIB_1989,WintersetIA,Winterset_IA,YieldBuA,C.V.,4.3
2000_UT0,2000,UT0,Uniform,UT0_2000,OttawaONT,Ottawa_ONT,YieldBuA,L.S.D.,2.7
1989_PTIIIB,1989,PTIIIB,Preliminary,PTIIIB_1989,FairfieldIA,Fairfield_IA,YieldBuA,Reps,2
1989_PTIIIB,1989,PTIIIB,Preliminary,PTIIIB_1989,UrbanaIL,Urbana_IL,YieldBuA,C.V.,7.1
2009_UT00,2009,UT00,Uniform,UT00_2009,LaPocatiereQUE,LaPocatiere_QUE,YieldBuA,L.S.D.,2.7
1989_PTIIIB,1989,PTIIIB,Preliminary,PTIIIB_1989,WintersetIA,Winterset_IA,YieldBuA,Reps,2
1989_PTIIIB,1989,PTIIIB,Preliminary,PTIIIB_1989,LafayetteIN,Lafayette_IN,YieldBuA,C.V.,7.5
2015_UTIII,2015,UTIII,Uniform,UTIII_2015,OnagaKS,Onaga_KS,YieldBuA,L.S.D.,2.7
1989_PTIIIB,1989,PTIIIB,Preliminary,PTIIIB_1989,UrbanaIL,Urbana_IL,YieldBuA,Reps,2
1989_PTIIIB,1989,PTIIIB,Preliminary,PTIIIB_1989,ManhattanKS,Manhattan_KS,YieldBuA,C.V.,6.2
1997_UT00,1997,UT00,Uniform,UT00_1997,OttawaONT,Ottawa_ONT,YieldBuA,L.S.D.,2.8
1989_PTIIIB,1989,PTIIIB,Preliminary,PTIIIB_1989,LafayetteIN,Lafayette_IN,YieldBuA,Reps,2
1989_PTIIIB,1989,PTIIIB,Preliminary,PTIIIB_1989,LexingtonNE,Lexington_NE,YieldBuA,C.V.,7.7
